epoch,step,test_loss,train_loss_epoch,val_loss
78,8373,,0.15973444283008575,
79,8479,,,0.15950995683670044
79,8479,,0.1633227914571762,
80,8585,,,0.1589621752500534
80,8585,,0.1596720665693283,
81,8691,,,0.15999427437782288
81,8691,,0.1609552502632141,
82,8797,,,0.16345730423927307
82,8797,,0.16052843630313873,
83,8903,,,0.1598748117685318
83,8903,,0.16230010986328125,
84,9009,,,0.16196033358573914
84,9009,,0.15926207602024078,
85,9115,,,0.16419680416584015
85,9115,,0.16272857785224915,
86,9221,,,0.1601923108100891
86,9221,,0.16078098118305206,
87,9327,,,0.1585823893547058
87,9327,,0.15920692682266235,
88,9433,,,0.16053839027881622
88,9433,,0.16178084909915924,
89,9539,,,0.1589277982711792
89,9539,,0.1630549281835556,
90,9645,,,0.16023576259613037
90,9645,,0.1605096310377121,
91,9751,,,0.16026099026203156
91,9751,,0.15953001379966736,
92,9857,,,0.156647726893425
92,9857,,0.15656547248363495,
93,9963,,,0.15888726711273193
93,9963,,0.15629641711711884,
94,10069,,,0.1589365452528
94,10069,,0.16175246238708496,
95,10175,,,0.15437759459018707
95,10175,,0.1576036959886551,
96,10281,,,0.15780556201934814
96,10281,,0.15933959186077118,
97,10387,,,0.16021576523780823
97,10387,,0.15929095447063446,
98,10493,,,0.15595446527004242
98,10493,,0.15847457945346832,
99,10599,,,0.15984714031219482
99,10599,,0.15894189476966858,
100,10600,0.1554298996925354,,
