epoch,step,test_loss,train_loss_epoch,val_loss
79,8479,,,0.15443556010723114
79,8479,,0.15599600970745087,
80,8585,,,0.15326978266239166
80,8585,,0.15241971611976624,
81,8691,,,0.15395566821098328
81,8691,,0.15332472324371338,
82,8797,,,0.157504141330719
82,8797,,0.15333178639411926,
83,8903,,,0.153691828250885
83,8903,,0.1545068919658661,
84,9009,,,0.1558486670255661
84,9009,,0.15180794894695282,
85,9115,,,0.15758945047855377
85,9115,,0.1549530178308487,
86,9221,,,0.15434902906417847
86,9221,,0.1531008780002594,
87,9327,,,0.1533631831407547
87,9327,,0.15194207429885864,
88,9433,,,0.15464696288108826
88,9433,,0.15430109202861786,
89,9539,,,0.15319156646728516
89,9539,,0.15574344992637634,
90,9645,,,0.15410970151424408
90,9645,,0.15304605662822723,
91,9751,,,0.15447820723056793
91,9751,,0.15175388753414154,
92,9857,,,0.15109699964523315
92,9857,,0.14888916909694672,
93,9963,,,0.1532929241657257
93,9963,,0.14850744605064392,
94,10069,,,0.15278799831867218
94,10069,,0.15399065613746643,
95,10175,,,0.14877130091190338
95,10175,,0.14995093643665314,
96,10281,,,0.1518203616142273
96,10281,,0.15147417783737183,
97,10387,,,0.1544814258813858
97,10387,,0.1517571657896042,
98,10493,,,0.1501762866973877
98,10493,,0.15067799389362335,
99,10599,,,0.15369148552417755
99,10599,,0.1511831432580948,
100,10600,0.14996448159217834,,
